Tanggal;Tavg
01/01/2022;28,2
02/01/2022;27,8
03/01/2022;28
04/01/2022;27,7
05/01/2022;28,1
06/01/2022;28,1
07/01/2022;28,2
08/01/2022;28,3
09/01/2022;28,4
10/01/2022;26,8
11/01/2022;26,4
12/01/2022;26,2
13/01/2022;26,9
14/01/2022;26,4
15/01/2022;26,2
16/01/2022;26,7
17/01/2022;27,7
18/01/2022;26,1
19/01/2022;27,1
20/01/2022;25,6
21/01/2022;27,1
22/01/2022;26,4
23/01/2022;28,5
24/01/2022;28,6
25/01/2022;28,2
26/01/2022;26,4
27/01/2022;27,6
28/01/2022;27,4
29/01/2022;27,2
30/01/2022;27,3
31/01/2022;27,2
01/02/2022;27,7
02/02/2022;27,3
03/02/2022;27,5
04/02/2022;26,6
05/02/2022;25,8
06/02/2022;27,5
07/02/2022;27,3
08/02/2022;26,5
09/02/2022;26,1
10/02/2022;26,7
11/02/2022;27,5
12/02/2022;26,9
13/02/2022;26,2
14/02/2022;26,9
15/02/2022;26,3
16/02/2022;27,4
17/02/2022;26,7
18/02/2022;26,4
19/02/2022;27
20/02/2022;26,5
21/02/2022;27,1
22/02/2022;28,2
23/02/2022;27,4
24/02/2022;27,1
25/02/2022;25,9
26/02/2022;26
27/02/2022;26,1
28/02/2022;27,5
01/03/2022;26,1
02/03/2022;26,2
03/03/2022;28
04/03/2022;27,2
05/03/2022;25,3
06/03/2022;26,3
07/03/2022;27,8
08/03/2022;27,8
09/03/2022;27,1
10/03/2022;27,2
11/03/2022;27,3
12/03/2022;26,9
13/03/2022;27,6
14/03/2022;27,4
15/03/2022;26,5
16/03/2022;27,3
17/03/2022;27
18/03/2022;28
19/03/2022;28,8
20/03/2022;29
21/03/2022;28,7
22/03/2022;28,6
23/03/2022;26,7
24/03/2022;27,3
25/03/2022;27,9
26/03/2022;25,5
27/03/2022;27,4
28/03/2022;27,4
29/03/2022;28,5
30/03/2022;28,5
31/03/2022;29,5
01/04/2022;27,8
02/04/2022;27,3
03/04/2022;25,7
04/04/2022;28,5
05/04/2022;27,1
06/04/2022;28,6
07/04/2022;28,7
08/04/2022;28,1
09/04/2022;28,1
10/04/2022;27,9
11/04/2022;27,6
12/04/2022;27,9
13/04/2022;28,2
14/04/2022;28,2
15/04/2022;28,4
16/04/2022;28,3
17/04/2022;28,1
18/04/2022;28,9
19/04/2022;27,8
20/04/2022;28,1
21/04/2022;26,6
22/04/2022;25,5
23/04/2022;27,7
24/04/2022;27,4
25/04/2022;27,7
26/04/2022;28,4
27/04/2022;27,7
28/04/2022;27,1
29/04/2022;28,1
30/04/2022;27
01/05/2022;27,4
02/05/2022;26,2
03/05/2022;27,1
04/05/2022;28,2
05/05/2022;27,9
06/05/2022;28,6
07/05/2022;28,6
08/05/2022;29,4
09/05/2022;28,4
10/05/2022;28,7
11/05/2022;27
12/05/2022;28,1
13/05/2022;28,9
14/05/2022;28,1
15/05/2022;27,5
16/05/2022;27,2
17/05/2022;28,3
18/05/2022;27,3
19/05/2022;26,7
20/05/2022;26,3
21/05/2022;26,7
22/05/2022;26,9
23/05/2022;27,9
24/05/2022;28,9
25/05/2022;26,8
26/05/2022;26,3
27/05/2022;27,5
28/05/2022;24,5
29/05/2022;26,6
30/05/2022;25,8
31/05/2022;26,3
01/06/2022;27,8
02/06/2022;27,5
03/06/2022;27,6
04/06/2022;27,8
05/06/2022;27,6
06/06/2022;26,6
07/06/2022;26,9
08/06/2022;26,8
09/06/2022;25,4
10/06/2022;27,1
11/06/2022;27,3
12/06/2022;26,9
13/06/2022;26,6
14/06/2022;27,1
15/06/2022;25,8
16/06/2022;25,2
17/06/2022;25,7
18/06/2022;26,1
19/06/2022;26,7
20/06/2022;27,2
21/06/2022;26,8
22/06/2022;26,3
23/06/2022;27,4
24/06/2022;26,7
25/06/2022;26,9
26/06/2022;26,5
27/06/2022;27,4
28/06/2022;27,4
29/06/2022;27
30/06/2022;26,4
01/07/2022;27
02/07/2022;27,8
03/07/2022;28,1
04/07/2022;28,7
05/07/2022;28,2
06/07/2022;25,5
07/07/2022;27,5
08/07/2022;28,2
09/07/2022;26,3
10/07/2022;26,6
11/07/2022;27,1
12/07/2022;27,5
13/07/2022;26
14/07/2022;27,1
15/07/2022;27,5
16/07/2022;25
17/07/2022;26,8
18/07/2022;27,1
19/07/2022;27,3
20/07/2022;27,5
21/07/2022;27,5
22/07/2022;27,2
23/07/2022;28
24/07/2022;27,3
25/07/2022;27,6
26/07/2022;26,9
27/07/2022;27,2
28/07/2022;28,1
29/07/2022;28,4
30/07/2022;27,2
31/07/2022;27,9
01/08/2022;27,4
02/08/2022;27,7
03/08/2022;27,2
04/08/2022;27,2
05/08/2022;27,1
06/08/2022;27,1
07/08/2022;27,2
08/08/2022;27,5
09/08/2022;28
10/08/2022;27,5
